Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,newCountry
Spain,Teror,37,Good,0,Good,37,Good,0,Good,16,Good,Spain
Mexico,Texmelucan,169,Unhealthy,2,Good,4,Good,12,Good,169,Unhealthy,Mexico
Thailand,Thap Khlo,50,Good,0,Good,21,Good,0,Good,50,Good,Thailand
Brazil,Tocantins,51,Moderate,1,Good,5,Good,4,Good,51,Moderate,Brazil
Romania,Rovinari,61,Moderate,1,Good,36,Good,2,Good,61,Moderate,Romania
Indonesia,Ruteng,24,Good,1,Good,24,Good,0,Good,19,Good,Indonesia
France,Saint Junien,38,Good,1,Good,30,Good,2,Good,38,Good,France
Latvia,Saldus,40,Good,1,Good,35,Good,0,Good,40,Good,Latvia
India,Samastipur,266,Very Unhealthy,3,Good,151,Unhealthy,1,Good,266,Very Unhealthy,India
Russian Federation,Sheksna,33,Good,1,Good,33,Good,0,Good,9,Good,Russian Federation
India,Sheoganj,159,Unhealthy,0,Good,35,Good,0,Good,159,Unhealthy,India
India,Shimla,178,Unhealthy,2,Good,114,Unhealthy for Sensitive Groups,0,Good,178,Unhealthy,India
,Shingu,49,Good,1,Good,49,Good,2,Good,45,Good,Shingu
Japan,Shintomi,47,Good,1,Good,47,Good,1,Good,45,Good,Japan
Zambia,Siavonga,39,Good,1,Good,17,Good,0,Good,39,Good,Zambia
Colombia,Sibate,91,Moderate,2,Good,4,Good,9,Good,91,Moderate,Colombia
Poland,Sierpc,34,Good,1,Good,34,Good,0,Good,28,Good,Poland
Romania,Sighetu Marmatiei,63,Moderate,1,Good,26,Good,0,Good,63,Moderate,Romania
Romania,Sighisoara,63,Moderate,1,Good,42,Good,0,Good,63,Moderate,Romania
Bosnia and Herzegovina,Sipovo,27,Good,1,Good,27,Good,0,Good,20,Good,Bosnia and Herzegovina
United States of America,Springfield,45,Good,1,Good,45,Good,2,Good,31,Good,United States of America
Poland,Stargard Szczecinski,35,Good,0,Good,35,Good,1,Good,25,Good,Poland
Russian Federation,Starokorsunskaya,44,Good,1,Good,44,Good,4,Good,32,Good,Russian Federation
Ukraine,Stebnyk,52,Moderate,1,Good,29,Good,1,Good,52,Moderate,Ukraine
Denmark,Stenlose,39,Good,0,Good,39,Good,0,Good,21,Good,Denmark
Turkey,Suhut,51,Moderate,1,Good,46,Good,0,Good,51,Moderate,Turkey
Indonesia,Sukabumi,97,Moderate,2,Good,67,Moderate,1,Good,97,Moderate,Indonesia
United Kingdom of Great Britain and Northern Ireland,Sunderland,51,Moderate,0,Good,32,Good,1,Good,51,Moderate,United Kingdom of Great Britain and Northern Ireland
United States of America,Sunnyvale,53,Moderate,1,Good,21,Good,10,Good,53,Moderate,United States of America
Thailand,Surat Thani,33,Good,0,Good,17,Good,0,Good,33,Good,Thailand
Malaysia,Tapah,51,Moderate,1,Good,42,Good,0,Good,51,Moderate,Malaysia
Republic of Moldova,Taraclia,41,Good,1,Good,41,Good,0,Good,31,Good,Republic of Moldova
Brazil,Umbauba,32,Good,0,Good,10,Good,2,Good,32,Good,Brazil
Japan,Urasoe,50,Good,1,Good,32,Good,1,Good,50,Good,Japan
Romania,Urziceni,40,Good,1,Good,40,Good,0,Good,25,Good,Romania
Turkey,Usak,56,Moderate,1,Good,56,Moderate,0,Good,38,Good,Turkey
Pakistan,Uthal,167,Unhealthy,1,Good,39,Good,0,Good,167,Unhealthy,Pakistan
Ukraine,Uzyn,54,Moderate,1,Good,43,Good,0,Good,54,Moderate,Ukraine
India,Vaikam,58,Moderate,0,Good,26,Good,0,Good,58,Moderate,India
Mexico,Valle De Bravo,46,Good,1,Good,11,Good,5,Good,46,Good,Mexico
Iran (Islamic Republic of),Varamin,140,Unhealthy for Sensitive Groups,2,Good,140,Unhealthy for Sensitive Groups,3,Good,131,Unhealthy for Sensitive Groups,Iran (Islamic Republic of)
Russian Federation,Velikiy Ustyug,34,Good,1,Good,34,Good,0,Good,17,Good,Russian Federation
Bulgaria,Velingrad,53,Moderate,1,Good,41,Good,0,Good,53,Moderate,Bulgaria
Philippines,Veruela,54,Moderate,1,Good,18,Good,0,Good,54,Moderate,Philippines
Russian Federation,Saratov,62,Moderate,1,Good,38,Good,1,Good,62,Moderate,Russian Federation
Canada,Saskatoon,32,Good,1,Good,24,Good,2,Good,32,Good,Canada
United States of America,Sauk Village,70,Moderate,2,Good,15,Good,23,Good,70,Moderate,United States of America
Benin,Save,84,Moderate,1,Good,17,Good,1,Good,84,Moderate,Benin
Turkey,Selimpasa,42,Good,1,Good,42,Good,0,Good,31,Good,Turkey
Brazil,Senador Canedo,54,Moderate,1,Good,6,Good,4,Good,54,Moderate,Brazil
India,Seoni Malwa,151,Unhealthy,0,Good,38,Good,0,Good,151,Unhealthy,India
Guatemala,San Andres Xecul,92,Moderate,3,Good,9,Good,10,Good,92,Moderate,Guatemala
Peru,San Clemente,22,Good,0,Good,18,Good,1,Good,22,Good,Peru
Netherlands,Middelburg,35,Good,1,Good,27,Good,3,Good,35,Good,Netherlands
Brazil,Mineiros,26,Good,1,Good,8,Good,0,Good,26,Good,Brazil
United States of America,Mint Hill,61,Moderate,2,Good,25,Good,8,Good,61,Moderate,United States of America
United States of America,Mitchell,42,Good,1,Good,42,Good,1,Good,21,Good,United States of America
Czechia,Mlada Boleslav,36,Good,1,Good,27,Good,2,Good,36,Good,Czechia
Belgium,Mol,39,Good,1,Good,31,Good,3,Good,39,Good,Belgium
Botswana,Molepolole,21,Good,0,Good,18,Good,0,Good,21,Good,Botswana
Italy,Mondovi,62,Moderate,1,Good,33,Good,1,Good,62,Moderate,Italy
Belgium,Monschau,32,Good,1,Good,32,Good,2,Good,31,Good,Belgium
France,Mont Saint Aignan,42,Good,1,Good,23,Good,3,Good,42,Good,France
Italy,Montepulciano,41,Good,1,Good,41,Good,1,Good,23,Good,Italy
United States of America,Monterey,37,Good,1,Good,27,Good,3,Good,37,Good,United States of America
Italy,Montesilvano,46,Good,1,Good,46,Good,1,Good,38,Good,Italy
France,Montpellier,43,Good,1,Good,37,Good,0,Good,43,Good,France
United States of America,North Haven,67,Moderate,1,Good,46,Good,5,Good,67,Moderate,United States of America
Madagascar,Nosy Varika,25,Good,0,Good,25,Good,0,Good,21,Good,Madagascar
Russian Federation,Novocherkassk,39,Good,1,Good,39,Good,1,Good,19,Good,Russian Federation
Peru,Nuevo Imperial,28,Good,0,Good,18,Good,1,Good,28,Good,Peru
Turkey,Of,40,Good,1,Good,37,Good,0,Good,40,Good,Turkey
Japan,Okinawa,48,Good,1,Good,32,Good,1,Good,48,Good,Japan
Canada,Okotoks,56,Moderate,1,Good,20,Good,4,Good,56,Moderate,Canada
United States of America,Olathe,71,Moderate,1,Good,28,Good,9,Good,71,Moderate,United States of America
India,Phirangipuram,134,Unhealthy for Sensitive Groups,1,Good,41,Good,0,Good,134,Unhealthy for Sensitive Groups,India
Cambodia,Phnum Penh,37,Good,0,Good,18,Good,0,Good,37,Good,Cambodia
Lao People's Democratic Republic,Phonhong,42,Good,0,Good,22,Good,0,Good,42,Good,Lao People's Democratic Republic
United States of America,Pinecrest,89,Moderate,1,Good,9,Good,14,Good,89,Moderate,United States of America
Germany,Potsdam,38,Good,1,Good,38,Good,1,Good,26,Good,Germany
China,Potzu,157,Unhealthy,4,Good,155,Unhealthy,10,Good,157,Unhealthy,China
India,Narauli,500,Hazardous,1,Good,57,Moderate,1,Good,472,Hazardous,India
Russian Federation,Nartan,47,Good,1,Good,45,Good,1,Good,47,Good,Russian Federation
Brazil,Navirai,19,Good,0,Good,19,Good,0,Good,10,Good,Brazil
United States of America,Neenah,51,Moderate,2,Good,16,Good,8,Good,51,Moderate,United States of America
Ethiopia,Negele,70,Moderate,1,Good,19,Good,0,Good,70,Moderate,Ethiopia
India,Nellikkuppam,94,Moderate,1,Good,39,Good,2,Good,94,Moderate,India
India,Pandua,179,Unhealthy,3,Good,97,Moderate,3,Good,179,Unhealthy,India
Tajikistan,Panjakent,110,Unhealthy for Sensitive Groups,1,Good,45,Good,0,Good,110,Unhealthy for Sensitive Groups,Tajikistan
India,Patna,365,Hazardous,2,Good,110,Unhealthy for Sensitive Groups,1,Good,307,Hazardous,India
Guatemala,Patzicia,125,Unhealthy for Sensitive Groups,4,Good,2,Good,14,Good,125,Unhealthy for Sensitive Groups,Guatemala
Brazil,Pedra Azul,22,Good,0,Good,5,Good,1,Good,22,Good,Brazil
Russian Federation,Petrodvorets,37,Good,1,Good,37,Good,4,Good,30,Good,Russian Federation
Spain,Motril,39,Good,1,Good,21,Good,5,Good,39,Good,Spain
United Republic of Tanzania,Mugango,40,Good,1,Good,15,Good,0,Good,40,Good,United Republic of Tanzania
Russian Federation,Mulino,30,Good,1,Good,30,Good,0,Good,11,Good,Russian Federation
Brazil,Muriae,48,Good,1,Good,7,Good,3,Good,48,Good,Brazil
Japan,Musashimurayama,47,Good,1,Good,34,Good,4,Good,47,Good,Japan
Germany,Mutterstadt,36,Good,0,Good,36,Good,1,Good,27,Good,Germany
Myanmar,Myitkyina,48,Good,1,Good,27,Good,0,Good,48,Good,Myanmar
Ukraine,Myronivka,52,Moderate,1,Good,43,Good,0,Good,52,Moderate,Ukraine
Japan,Nagoya,59,Moderate,1,Good,52,Moderate,3,Good,59,Moderate,Japan
United Kingdom of Great Britain and Northern Ireland,Nailsea,62,Moderate,0,Good,33,Good,0,Good,62,Moderate,United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania,Nanhyanga,34,Good,0,Good,21,Good,0,Good,34,Good,United Republic of Tanzania
Brazil,Mariana,59,Moderate,2,Good,4,Good,5,Good,59,Moderate,Brazil
United States of America,Marlton,70,Moderate,1,Good,45,Good,4,Good,70,Moderate,United States of America
France,Marly Le Roi,47,Good,1,Good,19,Good,4,Good,47,Good,France
United States of America,Martinsburg,47,Good,1,Good,42,Good,4,Good,47,Good,United States of America
India,Masaurhi,390,Hazardous,2,Good,92,Moderate,1,Good,310,Hazardous,India
Philippines,Masinloc,62,Moderate,0,Good,25,Good,0,Good,62,Moderate,Philippines
France,Mauguio,42,Good,1,Good,37,Good,0,Good,42,Good,France
Uganda,Mayuge,73,Moderate,3,Good,33,Good,1,Good,73,Moderate,Uganda
Italy,Mazzarino,50,Good,1,Good,44,Good,0,Good,50,Good,Italy
United Republic of Tanzania,Mbuguni,53,Moderate,1,Good,16,Good,0,Good,53,Moderate,United Republic of Tanzania
Canada,Medicine Hat,50,Good,1,Good,32,Good,0,Good,50,Good,Canada
Afghanistan,Mehtar Lam,63,Moderate,1,Good,45,Good,0,Good,63,Moderate,Afghanistan
Germany,Menden,34,Good,1,Good,34,Good,2,Good,26,Good,Germany
India,Mettur,65,Moderate,1,Good,32,Good,1,Good,65,Moderate,India
France,Meylan,33,Good,1,Good,27,Good,1,Good,33,Good,France
Spain,Torrijos,33,Good,1,Good,28,Good,2,Good,33,Good,Spain
Italy,Tortona,32,Good,1,Good,32,Good,2,Good,26,Good,Italy
Russian Federation,Tosno,38,Good,0,Good,38,Good,0,Good,17,Good,Russian Federation
Germany,Tostedt,35,Good,1,Good,35,Good,1,Good,25,Good,Germany
Japan,Tottori,37,Good,1,Good,37,Good,0,Good,24,Good,Japan
Japan,Toyoake,59,Moderate,1,Good,51,Moderate,3,Good,59,Moderate,Japan
Ireland,Tralee,54,Moderate,1,Good,39,Good,0,Good,54,Moderate,Ireland
Bulgaria,Trjavna,39,Good,1,Good,39,Good,0,Good,37,Good,Bulgaria
Philippines,Tubigon,66,Moderate,1,Good,20,Good,0,Good,66,Moderate,Philippines
Romania,Turda,61,Moderate,1,Good,33,Good,1,Good,61,Moderate,Romania
Russian Federation,Udelnaya,57,Moderate,1,Good,26,Good,8,Good,57,Moderate,Russian Federation
Russian Federation,Uglich,33,Good,1,Good,33,Good,0,Good,27,Good,Russian Federation
Japan,Ujiie,42,Good,1,Good,42,Good,1,Good,35,Good,Japan
Russian Federation,Yarovoye,41,Good,1,Good,40,Good,0,Good,41,Good,Russian Federation
Spain,Yecla,33,Good,0,Good,33,Good,1,Good,24,Good,Spain
Mexico,Zacapu,37,Good,1,Good,7,Good,3,Good,37,Good,Mexico
Croatia,Zapresic,32,Good,1,Good,32,Good,1,Good,32,Good,Croatia
Poland,Zgierz,35,Good,1,Good,31,Good,1,Good,35,Good,Poland
Croatia,Zupanja,58,Moderate,1,Good,32,Good,1,Good,58,Moderate,Croatia
China,Wenling,92,Moderate,2,Good,92,Moderate,2,Good,77,Moderate,China
Germany,Werl,34,Good,1,Good,34,Good,2,Good,26,Good,Germany
United States of America,West Covina,128,Unhealthy for Sensitive Groups,4,Good,4,Good,32,Good,128,Unhealthy for Sensitive Groups,United States of America
United States of America,Westfield,47,Good,1,Good,47,Good,2,Good,34,Good,United States of America
United States of America,Willowick,40,Good,1,Good,32,Good,8,Good,40,Good,United States of America
France,Wittelsheim,33,Good,1,Good,31,Good,1,Good,33,Good,France
Germany,Wittlich,31,Good,1,Good,31,Good,2,Good,27,Good,Germany
,Workington,75,Moderate,0,Good,33,Good,0,Good,75,Moderate,Workington
Netherlands,Woudenberg,37,Good,1,Good,29,Good,4,Good,37,Good,Netherlands
China,Xiashi,89,Moderate,2,Good,85,Moderate,3,Good,89,Moderate,China
Lithuania,Vilkaviskis,49,Good,1,Good,37,Good,0,Good,49,Good,Lithuania
Bolivia (Plurinational State of),Villamontes,12,Good,0,Good,10,Good,0,Good,12,Good,Bolivia (Plurinational State of)
Paraguay,Villarrica,35,Good,1,Good,15,Good,0,Good,35,Good,Paraguay
Russian Federation,Volzhskiy,39,Good,1,Good,39,Good,0,Good,25,Good,Russian Federation
Madagascar,Vondrozo,25,Good,0,Good,25,Good,0,Good,20,Good,Madagascar
Germany,Wachtberg,31,Good,1,Good,31,Good,3,Good,29,Good,Germany
India,Wanparti,108,Unhealthy for Sensitive Groups,0,Good,30,Good,0,Good,108,Unhealthy for Sensitive Groups,India
Philippines,Wao,30,Good,1,Good,20,Good,0,Good,30,Good,Philippines
Germany,Wardenburg,33,Good,1,Good,33,Good,2,Good,27,Good,Germany
India,Waris Aliganj,302,Hazardous,1,Good,88,Moderate,1,Good,283,Very Unhealthy,India
Australia,Warrnambool,27,Good,0,Good,27,Good,0,Good,20,Good,Australia
Germany,Warstein,30,Good,1,Good,30,Good,3,Good,29,Good,Germany
United States of America,Watauga,56,Moderate,1,Good,20,Good,6,Good,56,Moderate,United States of America
China,Weihai,86,Moderate,3,Good,86,Moderate,2,Good,81,Moderate,China
Brazil,Alto Piquiri,39,Good,1,Good,6,Good,2,Good,39,Good,Brazil
United States of America,Alton,59,Moderate,2,Good,27,Good,12,Good,59,Moderate,United States of America
Switzerland,Altstatten,55,Moderate,1,Good,24,Good,3,Good,55,Moderate,Switzerland
Nigeria,Amaigbo,112,Unhealthy for Sensitive Groups,4,Good,18,Good,3,Good,112,Unhealthy for Sensitive Groups,Nigeria
Belgium,Anderlues,67,Moderate,1,Good,32,Good,4,Good,67,Moderate,Belgium
Brazil,Andradina,11,Good,1,Good,11,Good,0,Good,11,Good,Brazil
China,Anyang,186,Unhealthy,6,Good,84,Moderate,15,Good,186,Unhealthy,China
Mexico,Apaseo El Alto,45,Good,1,Good,24,Good,2,Good,45,Good,Mexico
India,Arcot,38,Good,1,Good,29,Good,0,Good,38,Good,India
Thailand,Nong Khae,63,Moderate,1,Good,29,Good,1,Good,63,Moderate,Thailand
Brazil,Nova Soure,14,Good,0,Good,11,Good,1,Good,14,Good,Brazil
Brazil,Nova Vicosa,20,Good,0,Good,20,Good,0,Good,17,Good,Brazil
Denmark,Nykobing,40,Good,1,Good,21,Good,3,Good,40,Good,Denmark
,Nynashamn,29,Good,1,Good,29,Good,0,Good,8,Good,Nynashamn
Germany,Ober Ramstadt,63,Moderate,1,Good,41,Good,3,Good,63,Moderate,Germany
Germany,Obernkirchen,69,Moderate,1,Good,38,Good,5,Good,69,Moderate,Germany
India,Obra,160,Unhealthy,3,Good,134,Unhealthy for Sensitive Groups,1,Good,160,Unhealthy,India
Italy,Occhiobello,82,Moderate,1,Good,45,Good,2,Good,82,Moderate,Italy
Denmark,Odder,38,Good,1,Good,38,Good,1,Good,32,Good,Denmark
Pakistan,Moro,157,Unhealthy,1,Good,40,Good,0,Good,157,Unhealthy,Pakistan
India,Morvi,141,Unhealthy for Sensitive Groups,0,Good,28,Good,0,Good,141,Unhealthy for Sensitive Groups,India
Australia,Morwell,17,Good,0,Good,14,Good,7,Good,17,Good,Australia
Myanmar,Moulmeingyun,34,Good,0,Good,24,Good,0,Good,34,Good,Myanmar
India,Mudgal,66,Moderate,1,Good,38,Good,0,Good,66,Moderate,India
United Republic of Tanzania,Mugumu,50,Good,1,Good,15,Good,0,Good,50,Good,United Republic of Tanzania
India,Muhammadabad,164,Unhealthy,4,Good,143,Unhealthy for Sensitive Groups,1,Good,164,Unhealthy,India
Japan,Muko,33,Good,1,Good,32,Good,3,Good,33,Good,Japan
Switzerland,Munchenstein,59,Moderate,1,Good,35,Good,2,Good,59,Moderate,Switzerland
Brazil,Muritiba,59,Moderate,1,Good,4,Good,4,Good,59,Moderate,Brazil
Bangladesh,Nabinagar,62,Moderate,1,Good,40,Good,1,Good,62,Moderate,Bangladesh
India,Naihati,133,Unhealthy for Sensitive Groups,3,Good,42,Good,3,Good,133,Unhealthy for Sensitive Groups,India
,Napier,27,Good,0,Good,27,Good,0,Good,15,Good,Napier
Russian Federation,Naro Fominsk,38,Good,1,Good,29,Good,1,Good,38,Good,Russian Federation
Turkey,Nazilli,88,Moderate,1,Good,45,Good,0,Good,88,Moderate,Turkey
Brazil,Neopolis,19,Good,0,Good,15,Good,0,Good,19,Good,Brazil
United States of America,New Baltimore,65,Moderate,2,Good,21,Good,16,Good,65,Moderate,United States of America
United States of America,New Smyrna Beach,57,Moderate,1,Good,25,Good,8,Good,57,Moderate,United States of America
United Kingdom of Great Britain and Northern Ireland,Newton Aycliffe,32,Good,1,Good,32,Good,1,Good,13,Good,United Kingdom of Great Britain and Northern Ireland
Japan,Neyagawa,31,Good,1,Good,31,Good,3,Good,25,Good,Japan
India,Neyveli,61,Moderate,1,Good,33,Good,1,Good,61,Moderate,India
Mexico,Nicolas Romero,163,Unhealthy,5,Good,4,Good,18,Good,163,Unhealthy,Mexico
United States of America,Martha Lake,90,Moderate,2,Good,22,Good,12,Good,90,Moderate,United States of America
Spain,Martos,36,Good,1,Good,31,Good,2,Good,36,Good,Spain
United Republic of Tanzania,Masasi,44,Good,0,Good,23,Good,0,Good,44,Good,United Republic of Tanzania
Nicaragua,Matagalpa,25,Good,1,Good,15,Good,1,Good,25,Good,Nicaragua
Romania,Matca,42,Good,1,Good,42,Good,0,Good,37,Good,Romania
Spain,Mazarron,34,Good,1,Good,34,Good,3,Good,30,Good,Spain
Brazil,Medianeira,32,Good,1,Good,8,Good,1,Good,32,Good,Brazil
United States of America,Merrydale,66,Moderate,2,Good,23,Good,11,Good,66,Moderate,United States of America
Russian Federation,Novaya Igirma,43,Good,1,Good,33,Good,0,Good,43,Good,Russian Federation
Serbia,Novi Banovci,61,Moderate,1,Good,47,Good,1,Good,61,Moderate,Serbia
Ghana,Nungua,56,Moderate,1,Good,17,Good,0,Good,56,Moderate,Ghana
United States of America,Ojus,58,Moderate,1,Good,19,Good,11,Good,58,Moderate,United States of America
Denmark,Middelfart,38,Good,1,Good,37,Good,1,Good,38,Good,Denmark
India,Mohan,169,Unhealthy,4,Good,141,Unhealthy for Sensitive Groups,1,Good,169,Unhealthy,India
Canada,Moncton,39,Good,1,Good,39,Good,0,Good,26,Good,Canada
United States of America,Gladstone,50,Good,1,Good,19,Good,11,Good,50,Good,United States of America
Japan,Gobo,46,Good,1,Good,46,Good,0,Good,11,Good,Japan
Germany,Goch,38,Good,0,Good,32,Good,2,Good,38,Good,Germany
Netherlands,Goedereede,35,Good,0,Good,35,Good,2,Good,32,Good,Netherlands
Russian Federation,Gorkovskiy,38,Good,1,Good,38,Good,1,Good,31,Good,Russian Federation
United States of America,Green,43,Good,1,Good,43,Good,3,Good,31,Good,United States of America
United States of America,Grosse Pointe Woods,47,Good,1,Good,31,Good,7,Good,47,Good,United States of America
United States of America,Brookfield,48,Good,1,Good,24,Good,8,Good,48,Good,United States of America
Poland,Brzesko,73,Moderate,1,Good,36,Good,2,Good,73,Moderate,Poland
Canada,Buckingham,63,Moderate,1,Good,22,Good,2,Good,63,Moderate,Canada
Angola,Cabinda,49,Good,2,Good,49,Good,0,Good,41,Good,Angola
Spain,Cabra,32,Good,1,Good,32,Good,2,Good,32,Good,Spain
Brazil,Cachoeirinha,35,Good,0,Good,11,Good,1,Good,35,Good,Brazil
Afghanistan,Cah Ab,123,Unhealthy for Sensitive Groups,1,Good,47,Good,0,Good,123,Unhealthy for Sensitive Groups,Afghanistan
Spain,Calvia,49,Good,1,Good,49,Good,0,Good,20,Good,Spain
Brazil,Campos Do Jordao,59,Moderate,2,Good,4,Good,4,Good,59,Moderate,Brazil
Philippines,Canlaon,44,Good,1,Good,17,Good,0,Good,44,Good,Philippines
China,Caohe,74,Moderate,3,Good,50,Good,4,Good,74,Moderate,China
Portugal,Carcavelos,31,Good,1,Good,31,Good,5,Good,26,Good,Portugal
United States of America,Carolina,54,Moderate,0,Good,23,Good,0,Good,54,Moderate,United States of America
Brazil,Carpina,44,Good,1,Good,9,Good,5,Good,44,Good,Brazil
Ireland,Castlebar,41,Good,1,Good,30,Good,0,Good,41,Good,Ireland
Pakistan,Chakwal,171,Unhealthy,3,Good,157,Unhealthy,0,Good,171,Unhealthy,Pakistan
Mozambique,Beira,28,Good,1,Good,21,Good,0,Good,28,Good,Mozambique
United Kingdom of Great Britain and Northern Ireland,Bentley,33,Good,1,Good,33,Good,3,Good,16,Good,United Kingdom of Great Britain and Northern Ireland
India,Bhabua,168,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,168,Unhealthy,India
Italy,Biancavilla,52,Moderate,1,Good,46,Good,0,Good,52,Moderate,Italy
Germany,Bietigheim Bissingen,64,Moderate,1,Good,36,Good,2,Good,64,Moderate,Germany
India,Bilgi,125,Unhealthy for Sensitive Groups,1,Good,32,Good,1,Good,125,Unhealthy for Sensitive Groups,India
Finland,Lappeenranta,31,Good,1,Good,31,Good,0,Good,19,Good,Finland
Finland,Lapua,34,Good,1,Good,34,Good,0,Good,15,Good,Finland
Portugal,Laranjeiro,25,Good,0,Good,25,Good,3,Good,13,Good,Portugal
United States of America,Las Vegas,46,Good,1,Good,20,Good,4,Good,46,Good,United States of America
Poland,Laziska Gorne,83,Moderate,2,Good,38,Good,4,Good,83,Moderate,Poland
United States of America,Lehi,33,Good,1,Good,33,Good,4,Good,26,Good,United States of America
China,Leiyang,97,Moderate,3,Good,21,Good,11,Good,97,Moderate,China
Albania,Lezhe,72,Moderate,1,Good,42,Good,1,Good,72,Moderate,Albania
Mozambique,Lichinga,27,Good,0,Good,22,Good,0,Good,27,Good,Mozambique
Germany,Lichtenau,65,Moderate,1,Good,40,Good,4,Good,65,Moderate,Germany
Poland,Lidzbark Warminski,36,Good,1,Good,36,Good,0,Good,30,Good,Poland
China,Daokou,176,Unhealthy,5,Good,176,Unhealthy,8,Good,173,Unhealthy,China
United States of America,Davie,74,Moderate,2,Good,13,Good,16,Good,74,Moderate,United States of America
France,Decines Charpieu,55,Moderate,1,Good,29,Good,2,Good,55,Moderate,France
India,Dewas,147,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,147,Unhealthy for Sensitive Groups,India
India,Dhoraji,129,Unhealthy for Sensitive Groups,0,Good,27,Good,0,Good,129,Unhealthy for Sensitive Groups,India
India,Dhulian,80,Moderate,2,Good,49,Good,2,Good,80,Moderate,India
Burkina Faso,Diapaga,36,Good,1,Good,18,Good,0,Good,36,Good,Burkina Faso
Nicaragua,Diriamba,42,Good,1,Good,18,Good,1,Good,42,Good,Nicaragua
Brazil,Dois Irmaos,37,Good,1,Good,15,Good,3,Good,37,Good,Brazil
Hungary,Dombovar,61,Moderate,1,Good,44,Good,1,Good,61,Moderate,Hungary
Indonesia,Balapulang,78,Moderate,2,Good,62,Moderate,1,Good,78,Moderate,Indonesia
Cameroon,Bamenda,52,Moderate,4,Good,10,Good,1,Good,52,Moderate,Cameroon
Nepal,Banepa,55,Moderate,1,Good,40,Good,0,Good,55,Moderate,Nepal
Spain,Barbastro,55,Moderate,2,Good,15,Good,2,Good,55,Moderate,Spain
India,Basti,105,Unhealthy for Sensitive Groups,3,Good,83,Moderate,1,Good,105,Unhealthy for Sensitive Groups,India
United States of America,Olney,55,Moderate,2,Good,24,Good,13,Good,55,Moderate,United States of America
Russian Federation,Omsk,55,Moderate,1,Good,26,Good,2,Good,55,Moderate,Russian Federation
Chad,Pala,78,Moderate,1,Good,14,Good,0,Good,78,Moderate,Chad
United States of America,Palm Coast,61,Moderate,1,Good,24,Good,7,Good,61,Moderate,United States of America
Ecuador,Daule,61,Moderate,1,Good,16,Good,4,Good,61,Moderate,Ecuador
Panama,David,57,Moderate,1,Good,18,Good,3,Good,57,Moderate,Panama
Afghanistan,Deh Rawud,49,Good,0,Good,49,Good,0,Good,47,Good,Afghanistan
China,Dengfeng,150,Unhealthy,2,Good,150,Unhealthy,3,Good,86,Moderate,China
Germany,Denkendorf,64,Moderate,1,Good,27,Good,3,Good,64,Moderate,Germany
Pakistan,Dera Bugti,162,Unhealthy,1,Good,63,Moderate,0,Good,162,Unhealthy,Pakistan
India,Deulgaon Raja,149,Unhealthy for Sensitive Groups,1,Good,34,Good,0,Good,149,Unhealthy for Sensitive Groups,India
India,Dhariwal,148,Unhealthy for Sensitive Groups,3,Good,148,Unhealthy for Sensitive Groups,1,Good,115,Unhealthy for Sensitive Groups,India
India,Dhenkanal,157,Unhealthy,2,Good,42,Good,2,Good,157,Unhealthy,India
Germany,Diez,51,Moderate,1,Good,26,Good,3,Good,51,Moderate,Germany
India,Dinhata,54,Moderate,2,Good,41,Good,0,Good,54,Moderate,India
United Kingdom of Great Britain and Northern Ireland,Doncaster,30,Good,0,Good,30,Good,4,Good,26,Good,United Kingdom of Great Britain and Northern Ireland
Denmark,Aabenraa,45,Good,1,Good,38,Good,2,Good,45,Good,Denmark
Mexico,Actopan,67,Moderate,1,Good,18,Good,3,Good,67,Moderate,Mexico
United States of America,Adrian,84,Moderate,2,Good,16,Good,16,Good,84,Moderate,United States of America
Colombia,Aguadas,82,Moderate,3,Good,1,Good,6,Good,82,Moderate,Colombia
Japan,Akiruno,60,Moderate,1,Good,43,Good,2,Good,60,Moderate,Japan
Netherlands,Alblasserdam,43,Good,1,Good,32,Good,5,Good,43,Good,Netherlands
France,Allauch,30,Good,1,Good,30,Good,6,Good,27,Good,France
United States of America,Birmingham,86,Moderate,2,Good,18,Good,18,Good,86,Moderate,United States of America
United States of America,Bloomsburg,70,Moderate,2,Good,20,Good,17,Good,70,Moderate,United States of America
Brazil,Boca Da Mata,45,Good,1,Good,7,Good,3,Good,45,Good,Brazil
Myanmar,Bogale,34,Good,0,Good,24,Good,0,Good,34,Good,Myanmar
Burkina Faso,Boulsa,48,Good,1,Good,19,Good,1,Good,48,Good,Burkina Faso
Russian Federation,Bratsk,44,Good,1,Good,33,Good,0,Good,44,Good,Russian Federation
United States of America,Bristol,71,Moderate,3,Good,8,Good,16,Good,71,Moderate,United States of America
Ukraine,Brody,43,Good,1,Good,29,Good,1,Good,43,Good,Ukraine
Mexico,Coatzintla,98,Moderate,3,Good,8,Good,10,Good,98,Moderate,Mexico
Italy,Codogno,55,Moderate,1,Good,43,Good,1,Good,55,Moderate,Italy
United States of America,Frederick,51,Moderate,2,Good,26,Good,12,Good,51,Moderate,United States of America
